[19:24:12] [main/INFO]: Loading Minecraft 1.20.2 with Fabric Loader 0.16.3
[19:24:12] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.20.2
[19:24:12] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/MinecraftSv/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[19:24:18] [main/INFO]: Environment: Environment[accountsHost=https://api.mojang.com, sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[19:24:19] [main/INFO]: Loaded 7 recipes
[19:24:19] [main/INFO]: Loaded 1271 advancements
[19:24:20] [Server thread/INFO]: Starting minecraft server version 1.20.2
[19:24:20] [Server thread/INFO]: Loading properties
[19:24:20] [Server thread/INFO]: Default game type: SURVIVAL
[19:24:20] [Server thread/INFO]: Generating keypair
[19:24:20] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:24:20] [Server thread/INFO]: Using epoll channel type
[19:24:20] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:24:20] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:24:20] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:24:20] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:24:20] [Server thread/INFO]: Preparing level "world"
[19:24:28] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:24:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:24:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:24:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:24:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:24:30] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[19:24:30] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:24:31] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[19:24:31] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[19:24:32] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[19:24:32] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[19:24:33] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[19:24:33] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[19:24:34] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:24:34] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[19:24:35] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[19:24:35] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[19:24:36] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[19:24:36] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[19:24:37] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[19:24:37] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[19:24:38] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[19:24:39] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[19:24:39] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[19:24:39] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[19:24:40] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[19:24:40] [Worker-Main-3/INFO]: Preparing spawn area: 39%
[19:24:41] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[19:24:41] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[19:24:42] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[19:24:42] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[19:24:43] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[19:24:43] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[19:24:44] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[19:24:44] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[19:24:45] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[19:24:45] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[19:24:46] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[19:24:46] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[19:24:47] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[19:24:47] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[19:24:48] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[19:24:48] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[19:24:49] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[19:24:49] [Worker-Main-3/INFO]: Preparing spawn area: 90%
[19:24:50] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[19:24:50] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[19:24:51] [Server thread/INFO]: Time elapsed: 22737 ms
[19:24:51] [Server thread/INFO]: Done (30.510s)! For help, type "help"
